,Session,MoA,Location,Outline Link
652,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC3002/2024-S2C-ND-CC
653,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC3001/2024-S1C-ND-CC
654,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC2625/2024-S2C-ND-CC
655,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC2604/2024-S2C-ND-CC
656,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC2603/2024-S1C-ND-CC
657,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC1602/2024-S2C-ND-CC
658,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/FRNC1601/2024-S2CIJL-BM-CC
659,Intensive December 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
660,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FRNC1601/2024-S1C-ND-CC
661,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FOOD3888/2024-S2C-ND-CC
662,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FOOD3002/2024-S1C-ND-CC
663,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FOOD3001/2024-S1C-ND-CC
664,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FOOD3000/2024-S2C-ND-CC
665,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FOOD2000/2024-S2C-ND-CC
666,Semester 2 2024,Block mode,"Camperdown/Darlington, Sydney",/units/FMAT3888/2024-S2C-BM-CC
667,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH3975/2024-S2C-ND-CC
668,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH3075/2024-S2C-ND-CC
669,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH2970/2024-S2C-ND-CC
670,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH2070/2024-S2C-ND-CC
671,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/MATH1972/2024-S2C-ND-CC
672,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/MATH1971/2024-S1C-ND-CC
673,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/MATH1962/2024-S2C-ND-CC
674,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/MATH1961/2024-S1C-ND-CC
675,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH1062/2024-S2C-ND-CC
676,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH1062/2024-S1C-ND-CC
677,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH1061/2024-S2C-ND-CC
678,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MATH1061/2024-S1C-ND-CC
679,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3029/2024-S2C-ND-CC
680,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2040/2024-S1C-ND-CC
681,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT2130/2024-S2C-ND-CC
682,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT2130/2024-S1C-ND-CC
683,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/FINC3302/2024-S2C-ND-CC
684,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/FINC3301/2024-S1C-ND-CC
685,Intensive October 2024,Online,"Camperdown/Darlington, Sydney",Outline unavailable
686,Intensive October 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
687,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/FINC3400/2024-S2CIJL-BM-CC
688,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3400/2024-S2C-ND-CC
689,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/FINC3400/2024-S1CIFE-BM-CC
690,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3400/2024-S1C-ND-CC
691,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3023/2024-S2C-ND-CC
692,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3020/2024-S2C-ND-CC
693,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3019/2024-S2C-ND-CC
694,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3015/2024-S1C-ND-CC
695,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3014/2024-S2C-ND-CC
696,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3013/2024-S2C-ND-CC
697,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3012/2024-S2C-ND-CC
698,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3011/2024-S1C-ND-CC
699,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BANK3011/2024-S2C-ND-CC
700,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BANK3011/2024-S1C-ND-CC
701,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3600/2024-S2C-ND-CC
702,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3600/2024-S1C-ND-CC
703,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3017/2024-S2C-ND-CC
704,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC3017/2024-S1C-ND-CC
705,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC2012/2024-S2C-ND-CC
706,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FINC2012/2024-S1C-ND-CC
707,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FILM3000/2024-S1C-ND-CC
708,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FILM2001/2024-S2C-ND-CC
709,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FILM1001/2024-S2C-ND-CC
710,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FILM1000/2024-S1C-ND-CC
711,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MGRK3603/2024-S1C-ND-CC
712,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MGRK3001/2024-S2C-ND-CC
713,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/JCTC3003/2024-S1C-ND-CC
714,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/JCTC3002/2024-S2C-ND-CC
715,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EUST3001/2024-S2C-ND-CC
716,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN2631/2024-S2C-ND-CC
717,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN2633/2024-S1C-ND-CC
718,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EUST2010/2024-S2C-ND-CC
719,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EUST2005/2024-S1C-ND-CC
720,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EUST1002/2024-S2C-ND-CC
721,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EUST1001/2024-S1C-ND-CC
722,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AREC3007/2024-S1C-ND-CC
723,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AREC3005/2024-S2C-ND-CC
724,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AREC3004/2024-S2C-ND-CC
725,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AREC3002/2024-S1C-ND-CC
726,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AREC3006/2024-S2C-ND-CC
727,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AREC2005/2024-S2C-ND-CC
728,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3924/2024-S2C-ND-CC
729,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3524/2024-S2C-ND-CC
730,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3920/2024-S1C-ND-CC
731,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3520/2024-S1C-ND-CC
732,"Intensive July 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
733,"Intensive July 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",/units/GEOS3053/2024-S2CIJL-BM-CC
734,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3914/2024-S2C-ND-CC
735,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3014/2024-S2C-ND-CC
736,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI3114/2024-S2C-ND-CC
737,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI3888/2024-S2C-ND-CC
738,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI3911/2024-S1C-ND-CC
739,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI3111/2024-S1C-ND-CC
740,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI2922/2024-S2C-ND-CC
741,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI2122/2024-S2C-ND-CC
742,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2921/2024-S1C-ND-CC
743,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2121/2024-S1C-ND-CC
744,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/GEOS1902/2024-S2C-ND-CC
745,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS1002/2024-S2C-ND-CC
746,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVI1003/2024-S2C-ND-CC
747,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/GEOS1901/2024-S1C-ND-CC
748,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS1001/2024-S1C-ND-CC
749,"Intensive July 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
750,"Intensive February 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
751,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3136/2024-S2C-ND-CC
752,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3136/2024-S1C-ND-CC
753,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3027/2024-S1C-ND-CC
754,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3037/2024-S2C-ND-CC
755,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3028/2024-S1C-ND-CC
756,Intensive August 2024,Block mode,"Camperdown/Darlington, Sydney",/units/EDUF3135/2024-S2CIAU-BM-CC
757,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3032/2024-S2C-ND-CC
758,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3032/2024-S1C-ND-CC
759,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3046/2024-S2C-ND-CC
760,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3050/2024-S2C-ND-CC
761,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF3040/2024-S1C-ND-CC
762,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF2022/2024-S2C-ND-CC
763,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF2022/2024-S1C-ND-CC
764,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF2021/2024-S2C-ND-CC
765,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF2021/2024-S1C-ND-CC
766,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF1021/2024-S2C-ND-CC
767,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EDUF1020/2024-S1C-ND-CC
768,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3902/2024-S2C-ND-CC
769,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3902/2024-S1C-ND-CC
770,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3901/2024-S2C-ND-CC
771,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3901/2024-S1C-ND-CC
772,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3035/2024-S1C-ND-CC
773,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3032/2024-S1C-ND-CC
774,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3022/2024-S2C-ND-CC
775,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECOS3022/2024-S1CIFE-BM-CC
776,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3022/2024-S1C-ND-CC
777,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3021/2024-S2C-ND-CC
778,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3018/2024-S2C-ND-CC
779,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3012/2024-S1C-ND-CC
780,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3004/2024-S2C-ND-CC
781,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3003/2024-S2C-ND-CC
782,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3003/2024-S1C-ND-CC
783,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2903/2024-S1C-ND-CC
784,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2201/2024-S2C-ND-CC
785,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2025/2024-S2C-ND-CC
786,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2005/2024-S1C-ND-CC
787,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1002/2024-S2C-ND-CC
788,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECON1002/2024-S1CIFE-BM-CC
789,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1002/2024-S1C-ND-CC
790,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1001/2024-S2C-ND-CC
791,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECON1001/2024-S1CIFE-BM-CC
792,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1001/2024-S1C-ND-CC
793,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3028/2024-S1C-ND-CC
794,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3025/2024-S2C-ND-CC
795,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3024/2024-S1C-ND-CC
796,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECOS3020/2024-S2CIJL-BM-CC
797,Intensive May 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECOS3020/2024-S1CIMY-BM-CC
798,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3017/2024-S2C-ND-CC
799,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3015/2024-S2C-ND-CC
800,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3013/2024-S1C-ND-CC
801,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3011/2024-S1C-ND-CC
802,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3010/2024-S2C-ND-CC
803,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3007/2024-S2C-ND-CC
804,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3006/2024-S2C-ND-CC
805,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3006/2024-S1C-ND-CC
806,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3005/2024-S2C-ND-CC
807,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2030/2024-S2C-ND-CC
808,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2902/2024-S2C-ND-CC
809,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2002/2024-S2C-ND-CC
810,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECOS2002/2024-S1CIFE-BM-CC
811,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2002/2024-S1C-ND-CC
812,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2901/2024-S1C-ND-CC
813,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2001/2024-S2C-ND-CC
814,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECOS2001/2024-S1CIFE-BM-CC
815,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2001/2024-S1C-ND-CC
816,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS2020/2024-S1C-ND-CC
817,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1006/2024-S1C-ND-CC
818,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1005/2024-S2C-ND-CC
819,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1003/2024-S2C-ND-CC
820,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1003/2024-S1C-ND-CC
821,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECON1040/2024-S1C-ND-CC
822,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3997/2024-S2C-ND-CC
823,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3997/2024-S1C-ND-CC
824,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT3997/2024-S2C-ND-CC
825,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3904/2024-S2C-ND-CC
826,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECOS3903/2024-S1C-ND-CC
827,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT3185/2024-S2C-ND-CC
828,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT3150/2024-S2C-ND-CC
829,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT3130/2024-S1C-ND-CC
830,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT3120/2024-S1C-ND-CC
831,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT3110/2024-S1C-ND-CC
832,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT2160/2024-S2C-ND-CC
833,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT2160/2024-S1C-ND-CC
834,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT2150/2024-S2C-ND-CC
835,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT2150/2024-S1C-ND-CC
836,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT1020/2024-S2C-ND-CC
837,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT1020/2024-S1C-ND-CC
838,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT1010/2024-S2C-ND-CC
839,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ECMT1010/2024-S1CIFE-BM-CC
840,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ECMT1010/2024-S1C-ND-CC
841,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AVBS3004/2024-S1C-ND-CC
842,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SCPL3604/2024-S2C-ND-CC
843,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG3003/2024-S2C-ND-CC
844,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GOVT3986/2024-S2C-ND-CC
845,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SCWK2008/2024-S2C-ND-CC
846,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SCWK2007/2024-S1C-ND-CC
847,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SCLG2638/2024-S1C-ND-CC
848,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GCST2607/2024-S1C-ND-CC
849,Intensive October 2024,Online,"Camperdown/Darlington, Sydney",Outline unavailable
850,Intensive October 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
851,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HSBH3026/2024-S2CIJL-BM-CC
852,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3026/2024-S2C-ND-CC
853,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HSBH3026/2024-S1CIFE-BM-CC
854,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3026/2024-S1C-ND-CC
855,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP3201/2024-S1C-ND-CC
856,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP3202/2024-S2C-ND-CC
857,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP2089/2024-S2C-ND-CC
858,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP2090/2024-S2C-ND-CC
859,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP2091/2024-S1C-ND-CC
860,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP1102/2024-S2C-ND-CC
861,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/OCCP1101/2024-S1C-ND-CC
862,Intensive October 2024,Online,"Camperdown/Darlington, Sydney",Outline unavailable
863,Intensive October 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
864,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/PERF3640/2024-S2CIJL-BM-CC
865,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PERF3640/2024-S2C-ND-CC
866,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/PERF3640/2024-S1CIFE-BM-CC
867,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PERF3640/2024-S1C-ND-CC
868,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC3650/2024-S1C-ND-CC
869,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC3603/2024-S2C-ND-CC
870,Semester 1 2024,Normal day,Sydney,/units/CMPN3636/2024-S1C-ND-SC
871,Semester 1 2024,Normal day,Sydney,/units/CMPN3635/2024-S1C-ND-SC
872,Semester 2 2024,Normal day,Sydney,/units/CMPN3634/2024-S2C-ND-SC
873,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC2695/2024-S1C-ND-CC
874,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC2663/2024-S2C-ND-CC
875,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC2663/2024-S1C-ND-CC
876,Semester 2 2024,Normal day,Sydney,/units/CMPN2632/2024-S2C-ND-SC
877,Semester 1 2024,Normal day,Sydney,/units/CMPN2631/2024-S1C-ND-SC
878,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC1504/2024-S2C-ND-CC
879,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC1504/2024-S1C-ND-CC
880,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC1503/2024-S2C-ND-CC
881,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC1503/2024-S1C-ND-CC
882,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MUSC1501/2024-S2C-ND-CC
883,Semester 2 2024,Normal day,Sydney,/units/CMPN1014/2024-S2C-ND-SC
884,Semester 1 2024,Normal day,Sydney,/units/CMPN1014/2024-S1C-ND-SC
885,Semester 2 2024,Normal day,Sydney,/units/CMPN1013/2024-S2C-ND-SC
886,Semester 1 2024,Normal day,Sydney,/units/CMPN1013/2024-S1C-ND-SC
887,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN3640/2024-S1C-ND-CC
888,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN3611/2024-S2C-ND-CC
889,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN3610/2024-S1C-ND-CC
890,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN3620/2024-S2C-ND-CC
891,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN2620/2024-S1C-ND-CC
892,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN2610/2024-S2C-ND-CC
893,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN1001/2024-S2C-ND-CC
894,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARIN1010/2024-S1C-ND-CC
895,Intensive October 2024,Online,"Camperdown/Darlington, Sydney",Outline unavailable
896,Intensive October 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
897,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ARCH3108/2024-S2CIJL-BM-CC
898,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARCH3108/2024-S2C-ND-CC
899,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/ARCH3108/2024-S1CIFE-BM-CC
900,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ARCH3108/2024-S1C-ND-CC
901,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/DESN3001/2024-S2C-ND-CC
902,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/DESN3000/2024-S1C-ND-CC
903,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/DESN3003/2024-S1C-ND-CC
