,Session,MoA,Location,Outline Link
461,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SIEN1001/2024-S1C-ND-CC
462,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SIEN1000/2024-S2C-ND-CC
463,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SIEN1000/2024-S1C-ND-CC
464,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INFD3888/2024-S2C-ND-CC
465,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/VIRO3902/2024-S2C-ND-CC
466,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/VIRO3002/2024-S2C-ND-CC
467,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/VIRO3901/2024-S1C-ND-CC
468,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/VIRO3001/2024-S1C-ND-CC
469,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MICR3921/2024-S1C-ND-CC
470,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/MICR3021/2024-S1C-ND-CC
471,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INFD3012/2024-S2C-ND-CC
472,Intensive October 2024,Online,"Camperdown/Darlington, Sydney",Outline unavailable
473,Intensive October 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
474,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/WORK3400/2024-S2CIJL-BM-CC
475,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK3400/2024-S2C-ND-CC
476,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/WORK3400/2024-S1CIFE-BM-CC
477,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK3400/2024-S1C-ND-CC
478,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK3210/2024-S1C-ND-CC
479,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK3208/2024-S1C-ND-CC
480,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK3203/2024-S2C-ND-CC
481,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK3201/2024-S2C-ND-CC
482,Semester 2a 2024,Block mode,"Camperdown/Darlington, Sydney",/units/WORK3600/2024-S2CRA-BM-CC
483,Semester 1a 2024,Block mode,"Camperdown/Darlington, Sydney",/units/WORK3600/2024-S1CRA-BM-CC
484,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK2205/2024-S2C-ND-CC
485,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK2203/2024-S1C-ND-CC
486,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK1004/2024-S2C-ND-CC
487,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK1004/2024-S1C-ND-CC
488,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK1003/2024-S2C-ND-CC
489,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WORK1003/2024-S1C-ND-CC
490,"Intensive December 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
491,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
492,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
493,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
494,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
495,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
496,"Intensive January 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
497,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
498,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
499,"Intensive January 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
500,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
501,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS3610/2024-S2C-ND-CC
502,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS3609/2024-S1C-ND-CC
503,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS3602/2024-S2C-ND-CC
504,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS3601/2024-S1C-ND-CC
505,"Intensive December 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
506,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
507,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
508,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
509,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
510,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
511,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
512,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
513,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
514,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS2602/2024-S2C-ND-CC
515,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS2601/2024-S1C-ND-CC
516,"Intensive December 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
517,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
518,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
519,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
520,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
521,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS1102/2024-S2C-ND-CC
522,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INMS1101/2024-S1C-ND-CC
523,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG3006/2024-S1C-ND-CC
524,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG3005/2024-S2C-ND-CC
525,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG3001/2024-S1C-ND-CC
526,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG2002/2024-S2C-ND-CC
527,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG2005/2024-S1C-ND-CC
528,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG2004/2024-S2C-ND-CC
529,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG2001/2024-S1C-ND-CC
530,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG1001/2024-S1C-ND-CC
531,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/IMPA3888/2024-S2C-ND-CC
532,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CPAT3902/2024-S2C-ND-CC
533,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CPAT3202/2024-S2C-ND-CC
534,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CPAT3901/2024-S1C-ND-CC
535,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CPAT3201/2024-S1C-ND-CC
536,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/IMMU3903/2024-S2C-ND-CC
537,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/IMMU3202/2024-S2C-ND-CC
538,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/IMMU3902/2024-S1C-ND-CC
539,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/IMMU3102/2024-S1C-ND-CC
540,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC3108/2024-S1C-ND-CC
541,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC3023/2024-S1C-ND-CC
542,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC3002/2024-S2C-ND-CC
543,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC3888/2024-S2C-ND-CC
544,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC3016/2024-S2C-ND-CC
545,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/HPSC2900/2024-S1C-ND-CC
546,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC2100/2024-S1C-ND-CC
547,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC2011/2024-S2C-ND-CC
548,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/HPSC1901/2024-S2C-ND-CC
