Email Campaign Report
"Title:","Sem1 Wk5 2024"
"Subject Line:","SUAnime Week 5 2024 Newsletter"
"Delivery Date/Time:","Sun, 17 Mar 2024 8:00 pm"

"Overall Stats"
"Total Recipients:","1,662"
"Successful Deliveries:","1,652"
"Bounces:","10 (0.6%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","739 (44.7%)"
"Total Opens:","1,285"
"Last Open Date:","17/4/24 2:12PM"
"Recipients Who Clicked:","24 (1.5%)"
"Total Clicks:","45"
"Last Click Date:","30/3/24 6:42AM"
"Total Unsubs:","4"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://www.facebook.com/events/3725818164329269?ref=newsfeed","17","10"
"https://www.facebook.com/media/set/?vanity=usydanime&set=a.1030838988557465","16","10"
"https://forms.gle/oxZ9LFBNby69dhRi9","12","8"
"https://www.facebook.com/usydanime/","0","0"
"https://www.instagram.com/sueanniemei/?hl=en","0","0"
