Email Campaign Report
"Title:","Sem1 Wk4 2024"
"Subject Line:","SUAnime Week 4 2024 Newsletter"
"Delivery Date/Time:","Sun, 10 Mar 2024 11:35 pm"

"Overall Stats"
"Total Recipients:","1,638"
"Successful Deliveries:","1,627"
"Bounces:","11 (0.7%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","771 (47.4%)"
"Total Opens:","1,257"
"Last Open Date:","16/4/24 11:58PM"
"Recipients Who Clicked:","22 (1.4%)"
"Total Clicks:","36"
"Last Click Date:","15/3/24 5:26PM"
"Total Unsubs:","6"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://www.facebook.com/events/289188897358633/?ref=newsfeed","17","10"
"https://www.facebook.com/media/set/?vanity=usydanime&set=a.1030838988557465","13","10"
"https://www.facebook.com/usydanime/","5","3"
"https://www.instagram.com/sueanniemei/?hl=en","1","1"
