Email Campaign Report
"Title:","Sem1 Wk6 2024"
"Subject Line:","SUAnime Week 6 2024 Newsletter"
"Delivery Date/Time:","Sun, 24 Mar 2024 6:00 pm"

"Overall Stats"
"Total Recipients:","1,651"
"Successful Deliveries:","1,646"
"Bounces:","5 (0.3%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","755 (45.9%)"
"Total Opens:","1,279"
"Last Open Date:","17/4/24 12:07PM"
"Recipients Who Clicked:","23 (1.4%)"
"Total Clicks:","36"
"Last Click Date:","28/3/24 3:20PM"
"Total Unsubs:","5"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://www.facebook.com/media/set?vanity=usydanime&set=a.1041101934197837","23","14"
"https://docs.google.com/document/d/14nJERrAg7dLJHLFBzOmTHAo8zBfWZ705/edit","11","8"
"https://www.facebook.com/events/6970338689756232/?ref=newsfeed","2","2"
"https://www.facebook.com/usydanime/","0","0"
"https://www.instagram.com/sueanniemei/?hl=en","0","0"
