Email Campaign Report
"Title:","Sem1 Wk2 2024"
"Subject Line:","SUAnime Week 2 2024 Newsletter"
"Delivery Date/Time:","Sun, 25 Feb 2024 10:02 pm"

"Overall Stats"
"Total Recipients:","1,640"
"Successful Deliveries:","1,623"
"Bounces:","17 (1.0%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","804 (49.5%)"
"Total Opens:","1,348"
"Last Open Date:","12/4/24 2:51PM"
"Recipients Who Clicked:","65 (4.0%)"
"Total Clicks:","143"
"Last Click Date:","2/3/24 11:36AM"
"Total Unsubs:","5"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://docs.google.com/forms/d/e/1FAIpQLSeoJGY--nhYLACN4e8rItOzZn4wl2xTK2QTlOlNJBxR_kZJTw/viewform","71","41"
"https://www.facebook.com/events/976071703937422/?ref=newsfeed","20","12"
"https://docs.google.com/forms/d/e/1FAIpQLSe42Ai62E2KHicALUCYMOvjIPFx-ddN1txmfvz28RPJyrOYLQ/viewform","16","7"
"https://manningbar.oztix.com.au/outlet/event/7823b9f9-06a8-45ad-b2c5-decf1390069b?Event=185342","16","10"
"https://docs.google.com/document/d/1reTXx8vRldGIlRYMBgz8IdcSkXmpUGxaUpJRLEAjZ74/edit?fbclid=IwAR0vezzHxXvPtUrWnEqJZMufLKjVmwwVcJyTU0wWHQm9cxmGhqeqSIzHf_E#heading=h.mbjsiz6n6jlo","14","11"
"https://www.facebook.com/usydanime/","4","1"
"https://www.instagram.com/sueanniemei/?hl=en","2","2"
