Email Campaign Report
"Title:","Sem1 Week 7 2024"
"Subject Line:","SUAnime Week 7 2024 Newsletter"
"Delivery Date/Time:","Sun, 07 Apr 2024 9:00 am"

"Overall Stats"
"Total Recipients:","1,648"
"Successful Deliveries:","1,645"
"Bounces:","3 (0.2%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","711 (43.2%)"
"Total Opens:","1,113"
"Last Open Date:","17/4/24 8:07AM"
"Recipients Who Clicked:","7 (0.4%)"
"Total Clicks:","9"
"Last Click Date:","9/4/24 4:49AM"
"Total Unsubs:","2"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://www.google.com/maps/place/DOUBLE+KILL+TCG+%26+HOBBY+%E5%8D%A1%E7%89%8C%E8%B0%B7%E5%AD%90%E5%BA%97/@-33.8823859,151.2037436,18z/data=!4m6!3m5!1s0x6b12afa1af453449:0xc84954e4bc7e3a97!8m2!3d-33.8820763!4d151.2041883!16s%2Fg%2F11y3lqq7t_?entry=ttu","4","3"
"https://www.facebook.com/media/set/?vanity=usydanime&set=a.1050549839919713","3","3"
"https://oraclecardgame.com/rules","2","1"
"https://www.facebook.com/events/718451683694913/?ref=newsfeed","0","0"
"https://www.facebook.com/usydanime/","0","0"
"https://www.instagram.com/sueanniemei/?hl=en","0","0"
