Email Campaign Report
"Title:","Sem1 Wk3 2024"
"Subject Line:","SUAnime Week 3 2024 Newsletter"
"Delivery Date/Time:","Sun, 03 Mar 2024 9:29 pm"

"Overall Stats"
"Total Recipients:","1,647"
"Successful Deliveries:","1,635"
"Bounces:","12 (0.7%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","794 (48.6%)"
"Total Opens:","1,337"
"Last Open Date:","17/4/24 12:35AM"
"Recipients Who Clicked:","39 (2.4%)"
"Total Clicks:","71"
"Last Click Date:","16/3/24 8:22AM"
"Total Unsubs:","8"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://www.facebook.com/media/set/?vanity=usydanime&set=a.1026786925629338","25","13"
"https://docs.google.com/document/d/1reTXx8vRldGIlRYMBgz8IdcSkXmpUGxaUpJRLEAjZ74/edit?fbclid=IwAR0vezzHxXvPtUrWnEqJZMufLKjVmwwVcJyTU0wWHQm9cxmGhqeqSIzHf_E#heading=h.mbjsiz6n6jlo","23","16"
"https://www.facebook.com/events/922980772663781/?ref=newsfeed","13","9"
"https://docs.google.com/forms/d/e/1FAIpQLSe42Ai62E2KHicALUCYMOvjIPFx-ddN1txmfvz28RPJyrOYLQ/viewform","10","7"
"https://www.facebook.com/usydanime/","0","0"
"https://www.instagram.com/sueanniemei/?hl=en","0","0"
